ID;Evento;EventoContinuo;Arq;DataTimeStamp;DataStamp;HourStamp;GPSLong;GPSLat;GPSAlt;Vel;AcelX;AcelY;AcelZ;ColectorType;VersaoHardware;VersaoSoftware;Modelo;FrequenciaAmostragem;NumeroSatelites;NumeroSatelitesVistos;ErroGPS;AcelRange;AcelResolution;LinearAcelX;LinearAcelY;LinearAcelZ;ExernalAcelX;ExernalAcelY;ExernalAcelZ;ExernalGyroscopeX;ExernalGyroscopeY;ExernalGyroscopeZ;InternalDifferenceZ;InternalDifferenceAverageZ;GeoboxTemperature;Bearing;Geobox;Light;Pitch;Roll;Yaw
162610302;0;0;162610302-20210806-15h17m47s913;1628273868480;20210806;15:17:48.480;-46.605895;-23.552950000000003;750.30;9.57;3.0929999351501465;6.656000137329102;7.34499979019165;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;6.3109;-0.0659;10.7752;-2.0732;-0.061;3.9634;-0.7280001640319824;-0.9584002494812012;34.66;3.48;CA-SAMPA-SP-BR-000159;0.0;1.3966;3.6398;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868529;20210806;15:17:48.530;-46.605895;-23.552950000000003;750.30;9.57;3.0929999351501465;6.656000137329102;7.34499979019165;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;6.3109;-0.0659;10.7752;-2.0732;-0.061;3.9634;-0.7280001640319824;-0.9584002494812012;34.66;3.48;CA-SAMPA-SP-BR-000159;0.0;1.3966;3.6398;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868581;20210806;15:17:48.581;-46.605895;-23.552950000000003;750.30;9.57;2.86299991607666;6.770999908447266;7.172999858856201;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;0.4131;0.2335;10.374;-1.2195;-0.7927;11.8293;0.9579997062683105;-1.0374531745910645;34.66;3.48;CA-SAMPA-SP-BR-000159;0.0;1.2803;3.4137;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868631;20210806;15:17:48.632;-46.605895;-23.552950000000003;750.30;9.57;3.1410000324249268;6.4070000648498535;7.690000057220459;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;-1.8765;0.0886;10.0579;3.4756;1.2195;-2.8659;0.1529998779296875;-0.48352861404418945;34.64;3.48;CA-SAMPA-SP-BR-000159;0.0;1.1304;3.3323;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868680;20210806;15:17:48.680;-46.605895;-23.552950000000003;750.30;9.57;3.1410000324249268;6.4070000648498535;7.690000057220459;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;-0.5329;1.1316;9.0723;-4.7561;0.0;-7.2561;0.1529998779296875;-0.48352861404418945;34.66;3.48;CA-SAMPA-SP-BR-000159;0.0;1.3668;3.3341;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868731;20210806;15:17:48.732;-46.605895;-23.552950000000003;750.30;9.57;3.380000114440918;6.953000068664551;6.2820000648498535;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;-0.5329;1.1316;9.0723;-4.7561;0.0;-7.2561;-0.5359997749328613;-1.7831130027770996;34.66;3.48;CA-SAMPA-SP-BR-000159;0.0;1.3668;3.3341;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868780;20210806;15:17:48.781;-46.605895;-23.552950000000003;750.30;9.57;3.380000114440918;6.953000068664551;6.2820000648498535;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;1.8837;-0.1209;10.2938;2.1341;-1.0366;-2.439;-0.5359997749328613;-1.7831130027770996;34.62;3.48;CA-SAMPA-SP-BR-000159;0.0;1.4874;2.9724;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868830;20210806;15:17:48.831;-46.605895;-23.552950000000003;750.30;9.57;2.9110000133514404;5.8420000076293945;7.2210001945495605;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;2.7902;0.9101;6.9635;-5.061;-0.7317;-4.5732;0.3640003204345703;-0.8071026802062988;34.65;3.48;CA-SAMPA-SP-BR-000159;0.0;1.5887;3.0193;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868880;20210806;15:17:48.881;-46.605895;-23.552950000000003;750.30;9.57;2.9110000133514404;5.8420000076293945;7.2210001945495605;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;7.6066;-1.3963;12.9044;5.5488;-1.5854;8.8415;0.3640003204345703;-0.8071026802062988;34.65;3.48;CA-SAMPA-SP-BR-000159;0.0;1.717;3.0401;26.2732
162610302;0;0;162610302-20210806-15h17m47s913;1628273868932;20210806;15:17:48.933;-46.605895;-23.552950000000003;750.30;9.57;3.9839999675750732;6.224999904632568;5.927999973297119;28;0.0;2.43;LM-X120;20;15;20;3.2;39.227;0.001;;;;-4.3326;0.4694;11.2039;1.5854;-1.1585;11.5854;0.37400007247924805;-1.9059748649597168;34.67;3.48;CA-SAMPA-SP-BR-000159;0.0;1.5991;2.8828;26.2732
